rep,arm,launched_at,milestone,t_plus_hours,timestamp,time_precision,source,verbatim_announcement
rep01,gated,2026-08-29T14:12:32.674020+09:00,first_stated_strategy,,,,,not determinable from any announcement
rep01,gated,2026-08-29T14:12:32.674020+09:00,first_job_submitted,3.00,2026-08-29T17:12:32.674020+09:00,T+ stated,log heading,"2026-08-29 (T+3h) — Pilot measured, screening model built, main screen launched"
rep01,gated,2026-08-29T14:12:32.674020+09:00,first_floor_grade,0.48,2026-08-29T14:41:12+09:00,second,commit 1bb8bda,"database characterised and the campaign sized: 12,499 files are 9,111 distinct structures, no element falls outside the pinned pseudo_atoms.def so G4(b)(ii)(i) cannot fire, four structures sit below the G3 density floor and two overlap - and the two-pressure floor-cycle cost on a large porous cell is 3.0 CPU-h, twice the charter average, which is what actually sizes the screen"
rep01,gated,2026-08-29T14:12:32.674020+09:00,first_claim_grade,3.23,2026-08-29T17:26:34+09:00,second,commit e0db7b9,"screening model rejected and rebuilt before it could spend 500 CPU-h: log10(Henry) diverges on non-porous frameworks and the first ridge fit ranked six zero-porosity solids at the top of 9,106, so the basis is now bounded terms only and phi<0.02 is out of the pool; pilot puts 2012[Cu][nbo]3[ASR]1 at 182.6 and shows Claim-grade agrees with floor-grade to 0.9 cm3/cm3 at 3.7x the cost, so floor-grade screening ranks honestly"
rep01,gated,2026-08-29T14:12:32.674020+09:00,first_mention_2021[Cu][sql]2,7.00,2026-08-29T21:12:32.674020+09:00,T+ stated,log body,"2026-08-29 (T+7h) — The surrogate, not the sample, was the limit"
rep02,ungated,2026-08-29T19:41:21.212177+09:00,first_stated_strategy,,,,,not determinable from any announcement
rep02,ungated,2026-08-29T19:41:21.212177+09:00,first_job_submitted,0.96,2026-08-29T20:38:43+09:00,second,commit c70e591,"unbiased 300-structure random sample queued ahead of the descriptor pass, because the mjs meta-scheduler shares one per-user core quota across all sibling replicates and rep01 alone holds 98 cores of it; also records that requeuing forfeits queue position, which cost me two dispatch cycles"
rep02,ungated,2026-08-29T19:41:21.212177+09:00,first_floor_grade,16.72,2026-08-30T12:24:31+09:00,second,commit 5582c5d,"worker jobs now read their priority order from queue/CHAIN at runtime instead of having one queue baked in at submission, because dispatch here takes up to fifteen hours and what a job was told to do when submitted is rarely still the most useful thing when it starts: scripts/worker_chain.sh cycles the chain rather than walking it once, so work appended to a high-priority queue after a job started is picked up within a pass, and it caps the stint on the bulk queue at an hour because qworker only idles out when it has nothing to claim and a worker that entered a 3,300-task queue would otherwise never look at the priority queues again; the ten pending mjs jobs are repointed in place by scripts/repoint.py, which rewrites only the trailing qworker line and asserts the #PBS block is byte-identical afterwards, since those lines were parsed at submission and touching them risks a queue position that costs hours to regain; queue/w2 is created with the first confirmation wave, 12 structures at the charter floor of 2000+10000 for about 10 CPU-h, chosen as the top of the screening table minus two structures that would cost 9 and 8 CPU-h while sitting 12 and 23 units below the leader"
rep02,ungated,2026-08-29T19:41:21.212177+09:00,first_claim_grade,16.38,2026-08-30T12:03:58+09:00,second,commit f23d6b9,"costs the confirmation tiers before submitting them, and finds two limits that would have killed the claim runs silently: T2 is 3.43x and T3 17.14x a screening run of the same structure, and the spread across candidates is enormous - the two leaders need 0.68 and 0.74 h at the floor and 3.4 and 3.7 h per claim-grade seed, while 2020[Al][fmz]3[ASR]1 at rank 6 would need 45.7 h per seed; that outlier is harmless because it sits 12 units below the incumbent and is owed no claim run, but a T3 pressure point on any mid-cost structure runs 5-10 h against a 16,200 s per-task wall cap and a 24 h PBS walltime, so a screening worker could claim a 20 h task and be killed mid-run, losing the work and the slot; queue long turns out to have no walltime limit at all, so the claim tier gets its own queue directory served only by 72 h workers, which qworker.py already supports since it takes the queue directory as an argument"
rep02,ungated,2026-08-29T19:41:21.212177+09:00,first_mention_2021[Cu][sql]2,32.39,2026-08-31T04:05:00+09:00,minute,log body,2026-08-31 04:05-04:50 KST — resumption after the 13.98 h harness outage
