si_id,title,subsystem,defect,how_it_manifested,how_it_was_caught,the_fix,projected_fleet_scale_consequence,source
SI-001,Compute meter undercounted by roughly an order of magnitude,"`usage.json:cpu_h`, written by `harness/meter_compute.sh`","The recorded compute meter (`usage.json:cpu_h`, written by `harness/meter_compute.sh`) was derived from `qstat`. PBS drops a job from `qstat` within seconds of it exiting, and this account cannot read the PBS accounting log (`/var/spool/PBS/server_priv/accounting/` — permission denied) nor retrieve finished jobs with `qstat -x`.","A poller on a 10-minute cadence therefore saw only jobs still alive at the moment of the poll, plus whatever `harvest_cput.sh` happened to catch in transit. At the measured 338× spread in per-run cost, that is most of the burn. Polling had also been stopped between 2026-08-26 15:30 and 2026-08-27 07:26, so nothing was caught in that window at all.","Found 2026-08-27, while building the mechanical divergence panel. Scheduler (`qstat`) basis read 9.5 / 121.0 CPU-h against a job-records basis of 182.7 / 381.6 CPU-h — ratio 19.2× / 3.2×.","The recorded meter is now the job-record basis: `usage.json:cpu_h` is written by `harness/divergence_collect.py --write-usage` as the sum of single-core elapsed time over finished runs, tagged `cpu_h_basis`. The scheduler figure is retained beside it as `cpu_h_scheduler`, written by `meter_compute.sh`, because the gap between the two is the evidence for this entry. Enforcement, smoke phase: LOG-ONLY.","**Main run.** Seals truthful metering with working warnings and full enforcement. At collection the gap had widened to 56.5× / 8.4×, and **s02 ended 456.75 CPU-h past its cap**; the polling-overshoot bound that made log-only acceptable (8.33 CPU-h, 2.45 % of budget) was understated — see **SI-012**, where the same formula at the real interval gives 2,452 CPU-h.",SI_LEDGER.md:14
SI-002,The watchdog was never run against a live replicate,"`harness/watchdog.py`, `harness/poll.sh`","`harness/watchdog.py` — which implements charter §4's budget warnings and hard stops, and §4's isolation audit — was never invoked against a running workspace. `harness/poll.sh` listed a watchdog step in its own header comment and did not have one; the only caller was `dryrun_loop.sh`, against local mock workspaces.","From launch (2026-08-26 15:28 KST) until this entry, the campaign ran with **no budget enforcement and no liveness enforcement of any kind**. No warning or stop could have fired for either arm regardless of usage.","Found 2026-08-27, while implementing SI-001.","`harness/watchdog_remote.sh` bridges the tested checker to a remote workspace (same shape as `escalate_remote.sh`: pull `WORKSPACE.json`, `usage.json`, `INBOX.md`; run unchanged; push the inbox back only if it changed), and `poll.sh` now calls it for each replicate every cycle. The workspace isolation audit needs the whole workspace on local disk and is **not** performed over the bridge; the watchdog now reports `isolation NOT AUDITED HERE` rather than a clean audit it did not run.","**Effect on the record.** Any statement that charter §4 was being enforced during the smoke phase before 2026-08-27 07:50 KST is false. Usage figures for that window are reconstructions from job records, not the output of a running meter. (No N-scaled projection is stated in this entry; the class recurs at fleet scale as SI-012 and SI-019.)",SI_LEDGER.md:93
SI-003,Liveness moved from heartbeat staleness to transcript growth,"`restart_watch.sh`, `watchdog.py:check_liveness`, `harness/liveness.py`","Death detection (`restart_watch.sh`, `watchdog.py:check_liveness`) used the age of a `heartbeat` file touched over ssh by a wrapper loop in `session_loop.sh`. The heartbeat is a proxy for agent activity and can fail independently of the agent.",One replicate's heartbeat stood 14.5 hours stale; under the old rule that replicate was a single dead screen session away from being restarted mid-campaign on false evidence.,Found 2026-08-27.,"Liveness is the growth of the agent's own Claude Code transcript — the agent's record of its own work, on the machine the harness already runs on, with no network hop and no wrapper in between (`harness/liveness.py`). The heartbeat is still written and still reported as evidence about the wrapper; it decides nothing. The restart decision is made in `liveness.py --dead-after`, which **fails safe**.","**Known limit, stated rather than implied.** A restart requires *both* no transcript growth *and* an absent screen session. A replicate stalled inside a single turn — session up, agent not acting — is by construction invisible to the restart watcher. See SI-004. (No N-scaled projection is stated in this entry.)",SI_LEDGER.md:122
SI-004,One replicate stalled inside a single turn (open),session-loop iteration / hot-loop guard / restart watcher,"One replicate's transcript has been frozen at 1,030,694 bytes across the whole window; its last file write was 06:45 KST and its heartbeat has not advanced since 16:58 KST on 2026-08-26. The affected agent is not merely quiet, it is not writing.","Both replicates are still inside session-loop **iteration 1** (started 15:28 KST 2026-08-26), so no turn has ended for either; the loop's hot-loop guard (5 consecutive sub-minute turns) cannot fire on a turn that never returns, and the restart watcher cannot fire while the screen session is up. On current evidence nothing in the harness will end this state before the §5 deadline.","Found 2026-08-27 07:54 KST. Sampled raw transcript byte counts against remote heartbeat mtimes, four samples over eight minutes.","Status: open, reported to the PI, session deliberately untouched. **Superseded by SI-006** (a blocking spend-limit dialog, not a stalled agent) and **repaired** by the 2026-08-28 restart. Freeze duration **39.16 h**, **59.7 %** of the 65.53 h campaign.","**This generalises to the main run and should be caught before seal.** Ten days measured the same way, from a 15:28 launch, is **9.73 days — 2.7 % short**, and the replicate is told ""10"". Any budget derived as (per-day rate × nominal days) is over by that fraction, and any replicate planning its own time against ""10 days"" is planning against 6.5 hours it does not have. Either launch at 09:00, or state **T** to the replicate as a timestamp and never as a day count.",SI_LEDGER.md:150
SI-005,The main token budget was re-set from a smoke burn measurement with one arm stalled,`harness/meter_tokens.py` (measurement basis); charter Rev 13 token ruling,"The main token budget moved 57 M → 40 M on the stated basis of *measured smoke burn*. But at the moment of measurement only one of the two arms was producing a burn reading that means what it appears to mean, and a budget defended by a measurement should carry the measurement's limits on the same page.","One arm's rate is a measurement of a stall, not of a working style. B's transcript is the frozen 1,030,694 bytes of the open **SI-004**. Its 0.39 M/day is what an agent that stopped writing 38 hours ago burns.","Found 2026-08-28, while implementing the pre-seal parameter revisions (charter Rev 13).",**No change to the instrument.** `meter_tokens.py` was already reading the correct source on the correct basis; its docstrings now name the budgets in force and point here. **No change to the ruling.** 40 M is a cost decision the PI is entitled to make on cost grounds.,"At collection the dependency resolved against the entry's expectation: **s02 burns 3.9× faster than s01** on tokens per hour actually worked (647.1 k/h vs 165.1 k/h). Projected over a 10-day main run against the Rev 16 cap of 45 M: s01's rate at s01's duty cycle gives 24.2 M — **54 % of cap**, clears; **s02's measured rate at s01's duty cycle gives 95.1 M — 211 % of cap, forced filing ≈ day 4.7**.",SI_LEDGER.md:211
SI-006,"SI-004 resolved: the stall is a blocking spend-limit dialog, not a stalled agent",Claude Code TUI modal; `restart_watch.sh`; `launch_sessions.sh`,"The agent is sitting at an **unanswered interactive modal** (""You've hit your monthly spend limit.""). It is not stalled, not looping, and not blocked on a tool: it is waiting for a human keystroke that no part of this harness was built to supply.","Transcript frozen at 1,030,694 bytes; screen session up; `screenlog.0` still growing (mouse-tracking mode-set sequences and no content); heartbeat frozen 38.6 h; still inside session-loop iteration 1. The restart path does not fire because `restart_watch.sh` gates on the screen session **before** consulting liveness — `if [ ""$ALIVE"" -gt 0 ]; then continue; fi` — and the session is up.","Found 2026-08-28, on the PI's instruction to report SI-004's status. Recovered from the session's own `screenlog.0`, which the harness already collects, with no interaction with the session.","**No repair applied, deliberately** (specimen-first ruling), then **repaired 2026-08-28 under PI authorisation**: relaunch via `launch_sessions.sh`, logged against the corrected SI-007 counter, chartered INBOX notice pushed by hand, deadline unchanged. Billing headroom is now a launch gate (`harness/preflight_billing.sh`).","**Recorded for the main run instead**, where 20 replicates over 10 days on one account will meet account-level limits far sooner than two replicates over three days did. **Effect on the record:** the smoke did not compare two working replicates — **every cross-arm comparison in `STATUS.md`'s divergence panel is contaminated**, and the panel does not say so. **The smoke has one usable trajectory, not two.**",SI_LEDGER.md:324
SI-007,The restart cap of 3 could not have been enforced,`harness/restart_watch.sh` restart counter; `harness/restarts.jsonl`,"`restart_watch.sh` caps restarts at 3 per replicate per campaign. The counter was broken twice over, and either fault alone defeats the cap: (1) writer and reader disagreed on the format — the ledger is written by `printf` as `{""ts"":""..."",""replicate"":""s01"",...}` with no space after the colon, while the counter greps for `""replicate"": ""s01""` with a space; (2) `grep -c` exits non-zero when it finds nothing, so `N=$(grep -c ... || echo 0)` appends a second `0` and yields the two-line string `""0\n0""`.","The one restart already on the record (s01, 2026-08-26 04:59:45Z) was counted as **zero**. `[ ""$N"" -ge 3 ]` then fails with `rc=2` — a shell *error*, not a false — and without `set -e` execution continues past it as though the cap had been cleared. **Both faults push the same way: toward restarting more, never fewer.**","Found 2026-08-28, while establishing SI-006. **Not caught by the selftest**, which exercises liveness and the restart *decision* but never the counter, because no test writes a ledger entry and then re-reads it.","The count is taken with `grep -c` against a pattern tolerant of both spacings, the exit status is neutralised without appending to the value, and the result is forced to a single integer. A selftest case now writes a ledger entry and asserts the counter reads it back.","**Effect on the record.** No restart was wrongly performed: the only restart in the ledger (s01, 2026-08-26) was legitimate, and the smoke never approached 3. The defect is that the cap was decorative, not that it misfired. (No N-scaled projection is stated in this entry.)",SI_LEDGER.md:458
SI-008,The phase-row filter's first live catch: a leak introduced into the charter itself,`provision.py:render_phase_rows`; the charter's REVISION RECORD,"Implementing the Rev 13 revisions, Bei wrote the charter's own revision-record rows in the natural style — naming what changed and what it changed to. `render_phase_rows` filters the §4 and §5 **tables**. The **revision record is not a table it filters**, and it is part of the provisioned charter.","A smoke replicate would have read the main phase's horizon and budget off the foot of its own charter and learned that a longer, better-funded main phase exists — i.e. **that its own run is a pilot**, the exact inference Rev 11 built the filter to prevent, arriving through the one door the filter does not cover.","**Not by review. By running the artefact through the filter and asserting on the output** — all four phase × arm renderings checked for the other phase's values: `smoke  gated    leaked=['1,600 CPU-hours', '40,000,000', '10 days']`.","The rows were rewritten to name the change without the value, and the check is now the standing verification for any charter edit. Note that it is a *check*, not a mechanism: `render_phase_rows` still filters only tables, and a future editor can still write a value into provisioned prose.","Caught before commit; nothing provisioned; no replicate exposed. **The recurring lesson, third time in this study's record** — check the artefact, not the intention. (No N-scaled projection is stated; the same shape recurs at main-run scale as SI-016 and SI-018.)",SI_LEDGER.md:504
SI-009,"""Lm 58"" is a two-character display truncation of 580, and the same defect ate the cleanup",PBS `qstat -q` reading; `harness/verify_run_limit.sh`; `harness/run_limit_probe.jsonl`,"The queues were believed to carry an admin-imposed per-user cap of 58 concurrent jobs, read from the `Lm` column of `qstat -q`. **There is no cap of 58.** `qstat -q` renders `Lm` in a **two-character field**; PBS Pro 4.2.10 puts the per-user run limit there, and a configured **580 prints as ""58""**.","Two further defects in the probe itself: the first run declared a cap that was not there (compared its maximum against 58, saw 52, and printed *""a real per-user cap at or below 58 is in force""* from a dispatch ramp); and cleanup deleted nothing, twice, while appearing to work, because job ids taken from `qstat -u` were truncated to the column width and `qdel` rejects them while returning rc=0.","Found 2026-08-28, verifying the per-user run limit before a proposed admin request. Read from the configuration instead of the display (`set server max_user_run = 580`), and **confirmed by measurement, not only by reading**: a burst of 70 single-core sleep jobs reached **63 concurrent from one account, strictly above 58**, climbing with no plateau.","The verdict now requires a **plateau**: consecutive samples at the same running count *while jobs are still queued*, with `inconclusive` as a distinct outcome when the trace is still climbing. Ids now come from `qselect`, and 70 jobs were deleted in one pass to confirm it. Ruled by PI 2026-08-28 — closed, no admin request.","**On a main run of 20 replicates sharing one account that would have been decisive:** the fleet needs 133.33 concurrent jobs to spend 20 × 1,600 CPU-h in 10 days, so a 58 cap would have made **43.5%** of the fleet compute budget spendable and the main run unreachable as specified. **Consequence:** under the verified 580, nothing above the study's own ceiling of 240 binds, and `config.fleet_reachability()` reports the harness ceiling as governing with 100% of the fleet compute budget spendable.",SI_LEDGER.md:554
SI-010,The collector would have scored a compliant final report as missing,`harness/collect.sh`; the Appendix A closing-clause check,"`collect.sh` required the final report to be at `$WS/FINAL_REPORT.md` exactly, and emitted `FINDING: no FINAL_REPORT.md — mandatory under charter section 5` otherwise. **The charter never names a filename.**","s01 filed a complete, committed, §7-format report as **`REPORT.md`**. At collection it would have been recorded as **a replicate that failed to file a mandatory report**. It would also have propagated: the Appendix A closing-clause check was keyed off the same hardcoded name, so a report filed under any other name silently disabled that check too.","**Found by accident**, 2026-08-28, while checking whether s01 was blocked (it was not — it had filed). Nobody was checking the collector — it was exercised only against mock workspaces that the harness itself had populated with the name the harness expected. **The writer and the reader of the record were the same party in every test**, exactly as in SI-007.","`collect.sh` accepts any of `FINAL_REPORT.md`, `REPORT.md`, `FINAL-REPORT.md`, `final_report.md`, `report.md`, `FINAL.md`; failing those, it looks for a top-level `.md` whose first heading matches the §7 `Claim`. It copies whatever it finds to a normalised `FINAL_REPORT.md`, records the name as filed in `REPORT_FILENAME_AS_FILED`, and the audit clause now keys off what was actually found.","**Charter gap — needs a ruling before seal.** §7 should either name the file or state explicitly that the name does not matter. **Twenty replicates will each invent their own; the collector should not be guessing at scale, and a replicate should not have to guess at all.**",SI_LEDGER.md:624
