replicate,arm,provisioned_at,launched_at,campaign_hours,deadline_kst,deadline_basis,fault_restoration_hours,source
rep01,gated,2026-08-29T14:07:04.873285+09:00,2026-08-29T14:12:32.674020+09:00,168,2026-09-05T18:40:46.204347+09:00,"launch + 168 h, plus 4.4704 h of recorded fleet pause (harness/state/PAUSE.json, uniform across arms)",0.0,reps/main/collected/rep01/WORKSPACE.json
rep02,ungated,2026-08-29T19:15:15.097881+09:00,2026-08-29T19:41:21.212177+09:00,168,2026-09-06T14:08:17.540512+09:00,"launch + 168 h, plus 4.4704 h of recorded fleet pause (harness/state/PAUSE.json, uniform across arms) + 13.9786 h restored for harness-fault downtime 2026-08-30T05:05:46Z to 2026-08-31T04:04:28 (PI ruling 2026-08-31, on REPORT 006 section 7(4))",13.9786,reps/main/collected/rep02/WORKSPACE.json
rep03,ungated,2026-08-29T19:16:05.757748+09:00,2026-08-29T19:41:27.282693+09:00,168,2026-09-06T15:28:14.611028+09:00,"launch + 168 h, plus 4.4704 h of recorded fleet pause (harness/state/PAUSE.json, uniform across arms) + 15.3094 h restored for harness-fault downtime 2026-08-30T03:45:55Z to 2026-08-31T04:04:28 (PI ruling 2026-08-31, on REPORT 006 section 7(4))",15.3094,reps/main/collected/rep03/WORKSPACE.json
rep04,ungated,2026-08-29T19:16:27.471491+09:00,2026-08-29T19:41:33.351662+09:00,168,2026-09-06T15:47:38.679997+09:00,"launch + 168 h, plus 4.4704 h of recorded fleet pause (harness/state/PAUSE.json, uniform across arms) + 15.6311 h restored for harness-fault downtime 2026-08-30T03:26:37Z to 2026-08-31T04:04:28 (PI ruling 2026-08-31, on REPORT 006 section 7(4))",15.6311,reps/main/collected/rep04/WORKSPACE.json
rep05,gated,2026-08-29T19:16:49.172132+09:00,2026-08-29T19:40:56.678756+09:00,168,2026-09-06T00:09:10.209083+09:00,"launch + 168 h, plus 4.4704 h of recorded fleet pause (harness/state/PAUSE.json, uniform across arms)",0.0,reps/main/collected/rep05/WORKSPACE.json
rep06,gated,2026-08-29T19:17:10.100623+09:00,2026-08-29T19:41:02.832166+09:00,168,2026-09-07T00:49:22.160501+09:00,"launch + 168 h, plus 4.4704 h of recorded fleet pause (harness/state/PAUSE.json, uniform across arms), plus 9.6200 h restored for a verified harness fault [PI ruling 2026-08-30, REPORT 001 section 4(f)] -- cause: restart_watch.sh relaunched with no argument, so it defaulted to PHASE=smoke and the s01/s02 roster; rep06 died once and was never restarted, while three cap-consuming restarts went to two other replicates; measurement: last recorded activity 2026-08-29T12:37:21.500736+00:00 (final ledger row whose token totals moved, harness/spend.jsonl) to the pause stamp 2026-08-29T22:14:19.952793+00:00 = 9.6162 h, ratified at 9.62 h + 15.0483 h restored for harness-fault downtime 2026-08-30T04:01:35Z to 2026-08-31T04:04:28 (PI ruling 2026-08-31, on REPORT 006 section 7(4))",24.6683,reps/main/collected/rep06/WORKSPACE.json
rep07,gated,2026-08-29T19:17:31.491089+09:00,2026-08-29T19:41:08.970805+09:00,168,2026-09-06T14:35:19.299140+09:00,"launch + 168 h, plus 4.4704 h of recorded fleet pause (harness/state/PAUSE.json, uniform across arms) + 14.4324 h restored for harness-fault downtime 2026-08-30T04:38:32Z to 2026-08-31T04:04:28 (PI ruling 2026-08-31, on REPORT 006 section 7(4))",14.4324,reps/main/collected/rep07/WORKSPACE.json
rep08,gated,2026-08-29T19:17:52.382181+09:00,2026-08-29T19:41:15.055436+09:00,168,2026-09-06T00:09:28.585763+09:00,"launch + 168 h, plus 4.4704 h of recorded fleet pause (harness/state/PAUSE.json, uniform across arms)",0.0,reps/main/collected/rep08/WORKSPACE.json
rep09,ungated,2026-08-29T19:18:13.483336+09:00,2026-08-29T19:41:39.509213+09:00,168,2026-09-06T00:09:53.039540+09:00,"launch + 168 h, plus 4.4704 h of recorded fleet pause (harness/state/PAUSE.json, uniform across arms)",0.0,reps/main/collected/rep09/WORKSPACE.json
rep10,ungated,2026-08-29T19:18:35.194932+09:00,2026-08-29T20:42:28.547965+09:00,168,2026-09-06T16:20:49.876300+09:00,"launch + 168 h, plus 4.4704 h of recorded fleet pause (harness/state/PAUSE.json, uniform across arms) + 15.1688 h restored for harness-fault downtime 2026-08-30T03:54:21Z to 2026-08-31T04:04:28 (PI ruling 2026-08-31, on REPORT 006 section 7(4))",15.1688,reps/main/collected/rep10/WORKSPACE.json
