rep,arm,t_plus_hours,timestamp,time_precision,source,event_text
rep01,gated,0.00,2026-08-29T14:12:32.674020+09:00,T+ stated,log heading,"2026-08-29 (T+0h) — Setup, toolchain verification, database characterisation"
rep01,gated,0.17,2026-08-29T14:22:39+09:00,second,commit c1e2401,"campaign scaffolding: CIF parser emitting pinned-UFF pseudo-atom labels, stage-1 database scan of all 12,499 structures (density, cell, supercell size, min interatomic distance, element roster); no element in the database falls outside the pinned pseudo_atoms.def, so G4(b)(ii)(i) cannot fire anywhere"
rep01,gated,0.48,2026-08-29T14:41:12+09:00,second,commit 1bb8bda,"database characterised and the campaign sized: 12,499 files are 9,111 distinct structures, no element falls outside the pinned pseudo_atoms.def so G4(b)(ii)(i) cannot fire, four structures sit below the G3 density floor and two overlap - and the two-pressure floor-cycle cost on a large porous cell is 3.0 CPU-h, twice the charter average, which is what actually sizes the screen"
rep01,gated,0.96,2026-08-29T15:10:21+09:00,second,commit 4194f2f,"cost is per-run setup, not per-cycle: zero cycles costs the same 5m19 as 700 on a 2656-atom porous cell, so the floor and Claim cycle grades cost nearly the same and the budget buys structures rather than cycles; six G3 kills logged with the four low-density ones still to be measured because the Rev-19 note forbids a gate that removes its own evidence, and the database charge column sums to zero for all 12,499 by construction so it cannot test the charge-balance leg"
rep01,gated,1.00,2026-08-29T15:12:32.674020+09:00,T+ stated,log heading,"2026-08-29 (T+1h) — Descriptors, G3 pre-screen, cost model surprise"
rep01,gated,3.00,2026-08-29T17:12:32.674020+09:00,T+ stated,log heading,"2026-08-29 (T+3h) — Pilot measured, screening model built, main screen launched"
rep01,gated,3.23,2026-08-29T17:26:34+09:00,second,commit e0db7b9,"screening model rejected and rebuilt before it could spend 500 CPU-h: log10(Henry) diverges on non-porous frameworks and the first ridge fit ranked six zero-porosity solids at the top of 9,106, so the basis is now bounded terms only and phi<0.02 is out of the pool; pilot puts 2012[Cu][nbo]3[ASR]1 at 182.6 and shows Claim-grade agrees with floor-grade to 0.9 cm3/cm3 at 3.7x the cost, so floor-grade screening ranks honestly"
rep01,gated,3.24,2026-08-29T17:27:09+09:00,second,commit ba4b17d,"STATE.md made resumable: the round-2 rule is written down as measure everything predicted above best-minus-3-sigma rather than take the top of a ranking, because the ceiling half of the mandate needs a claim about what was ruled out"
rep01,gated,3.70,2026-08-29T17:54:37+09:00,second,commit 9d97732,"a ppn=32 request on a property whose nodes hold at most 16 cores is accepted by qas and dropped by PBS with no output file, so r1b was silently not running while I believed 96 cores were screening; resubmitted as two 16-core jobs and the node geometry is now on the record"
rep01,gated,4.22,2026-08-29T18:25:48+09:00,second,commit aace6da,"a 32-core job spent an hour running 8 structures because supercell size spans 400 to 23,166 atoms and the tail of a batch idles the rest of the allocation, which a cores-times-walltime budget pays for in full; pilot killed at 39/47 and its remainder packed into a queued batch"
