# UNATTESTED. Post-seal read-only read of replicate workspaces on bnode0 2026-09-02T13:5xZ. The sealed collection contains NO script inventory (git-log.txt records no filenames), so nothing attests these bytes are unchanged since the campaign. Skip this line when parsing.
rep,arm,filename,language,loc,purpose,category,pulled_at,attestation
rep01,gated,scripts/aggregate.py,python,49,"Merge every per-structure result row into one table, check protocol compliance on each, and record the order in which structures passed screening (G7 needs a stable ordering, and reconstructing it at ",audit or gate check,2026-09-02T13:5xZ,none - post-seal workspace read
rep01,gated,scripts/audit.py,python,13,Append one AUDIT.jsonl line; ts and commit are filled in here.,audit or gate check,2026-09-02T13:5xZ,none - post-seal workspace read
rep01,gated,scripts/blind.py,python,91,"Is 2008[Cd][ths]3[ASR]1 a bad measurement, or a region the descriptors cannot see? It is under-predicted by 64.5 cm3/cm3 while the next-worst point in 308 is 25.9, so it is not a tail -- it is a singl",descriptors,2026-09-02T13:5xZ,none - post-seal workspace read
rep01,gated,scripts/budget.py,python,48,"Compute-budget ledger. Charges every job at cores x wall-clock (allocation, not busy time), the conservative reading of a CPU-hour budget. Running jobs are read from qstat; finished ones from the STAR",job submission,2026-09-02T13:5xZ,none - post-seal workspace read
rep01,gated,scripts/charges.py,python,27,"Net framework charge per structure, from the DDEC6 column the database carries. Used only for the G3 charge-balance leg; the §3 protocol itself is chargeless.",audit or gate check,2026-09-02T13:5xZ,none - post-seal workspace read
rep01,gated,scripts/cifutil.py,python,137,"cifutil.py -- parse the campaign database CIFs, emit RASPA-ready CIFs, and compute geometric / energetic descriptors. Labels in the provided database are element+index (e.g. ""Ag1""). RASPA matches _ato",parsing,2026-09-02T13:5xZ,none - post-seal workspace read
rep01,gated,scripts/closeout.py,python,37,Final record closure: STATE.md must state how the campaign actually ended.,audit or gate check,2026-09-02T13:5xZ,none - post-seal workspace read
rep01,gated,scripts/cond.py,python,80,"The threshold should be set on the residuals that can actually threaten the leader. best - max_under_prediction is driven by 2008[Cd][ths]3[ASR]1: predicted 89.9, measured 154.3, residual +64.5, next-",descriptors,2026-09-02T13:5xZ,none - post-seal workspace read
rep01,gated,scripts/critfinish.py,python,108,Keep REPORT.md's ceiling section true as the ceiling-critical twelve land. The ceiling half of the mandate reduces to twelve unmeasured structures that the surrogate places within its observed error o,surrogate model,2026-09-02T13:5xZ,none - post-seal workspace read
rep01,gated,scripts/critstatus.py,python,66,"Ceiling-critical scoreboard: the twelve structures that could in principle beat the leader, and what has happened to each. This is the table the ceiling half of the mandate reduces to. Each measuremen",bookkeeping,2026-09-02T13:5xZ,none - post-seal workspace read
