n,replicate,arm,log_ref,clause,entry_text_as_filed,v1_0_edit_produced,attribution_note,collective_edit,source
1,s01,gated,LOG.md:69,Appendix A / G3,"Appendix A / G3: ""He void fraction computed"" does not name a method, and the pinned toolchain forecloses the usual one → adopted a geometric He void fraction, computed in `bin/geom.py` from the same Lennard-Jones sigmas the protocol itself uses (a point is He-accessible when |r − r_i| > (σ_i + σ_He)/2 for every framework atom under PBC, with σ_He = 2.58 Å). Helium enters only as a geometric probe and is never a simulated species, so the pinned files stay untouched. Reproducible from `bin/geom.py` + the pinned force field.","Charter Rev 21(b) — Appendix A, G3: void-fraction method clause added. ""The He void fraction this gate requires may be obtained by **any method you state and log** — a geometric probe calculation, or Widom insertion using an auxiliary parameter file you create — and the method chosen is part of the record for that structure.""","Post-seal amendment (2026-08-29, commit 1d39111). The revision record attributes Rev 21 to rep01's escalations, not to this entry; this smoke entry raised the same ambiguity first and no seal-time edit followed it.","All eleven entries collectively produced charter Rev 18's promotion of `[CHARTER-READ]` logging out of smoke addendum §A3 into charter §6, verbatim, reaching both arms.",reps/smoke/collected/CHARTER_READ_HARVEST.md; reps/smoke/collected/s01/LOG.md:69
2,s01,gated,LOG.md:76,Appendix A / G3,"Appendix A / G3: ""charge balance verified"" is directly actionable for structures *I* modify (that is G5's job) but has no automatable meaning for 1731 unmodified database entries — the CIFs carry PACMAN/DDEC6 charges that are normalised to zero net by construction, so summing them verifies nothing → adopted: database structures are taken as provided by the charter-designated source and are checked on the legs that *are* decidable (overlap, density, void fraction) at screening scale; the charge-balance leg is discharged by explicit composition inspection for anything promoted to finalist, and by G5 for anything I modify.",None. No v1.0 edit addresses the charge-balance leg of G3 for unmodified database entries.,Verified by diff of prereg/charter_v0.9.md from db78835 (Rev 17) to HEAD: G3's charge-balance clause is unchanged.,"All eleven entries collectively produced charter Rev 18's promotion of `[CHARTER-READ]` logging out of smoke addendum §A3 into charter §6, verbatim, reaching both arms.",reps/smoke/collected/CHARTER_READ_HARVEST.md; reps/smoke/collected/s01/LOG.md:76
3,s01,gated,LOG.md:141,Appendix A / G4,"Appendix A / G4: ""exposed metal atoms"" is stated without a numeric criterion, and the first clause is unqualified while only the second names modification → adopted the strict reading, that *any* structure carrying a reachable coordinatively-unsaturated metal is auto-invalid whether or not I created it, with the geometric criterion above. Threshold sensitivity is reported rather than hidden: the flagged fraction runs 21.5% (θ≥60°, d≤3.8 Å) to 30.6% (θ≥60°, d≤4.2 Å) to 35.8% (the adopted per-metal count) across defensible settings.","Charter Rev 18 — Appendix A, G4 rewritten adsorbate-aware: (a) open/exposed metal is claimable for methane with a mandatory stated caveat and no admissibility consequence; (b) inadmissible only for agent-created bare coordination sites and for framework chemistry the pinned UFF table cannot support, leg (ii) argued per structure, never per element roster; (c) criterion, chosen thresholds and mandatory sensitivity logged. Plus the Appendix A note ""Gates constrain claims, not measurement.""",The specimen entry. SI_LEDGER.md SI-015; prereg/charter_revisions.md Rev 18; prereg/G4_v1.0_PROPOSED.md. Applied at commit b0c96c2.,"All eleven entries collectively produced charter Rev 18's promotion of `[CHARTER-READ]` logging out of smoke addendum §A3 into charter §6, verbatim, reaching both arms.",reps/smoke/collected/CHARTER_READ_HARVEST.md; reps/smoke/collected/s01/LOG.md:141
4,s01,gated,LOG.md:193,§3 cycle counts,"§3 cycle counts: the floor governs *reported numbers*, and is silent on internal triage → adopted: S1 values are an ordering device only. **No S1 value is quoted anywhere as a measurement of a working capacity.** Every number that appears in the report as a measurement comes from a run at floor cycles or above, and every number in the Claim comes from 10,000 + 50,000. Where the report needs to characterise the screen, it does so as ""sub-floor triage estimate"" with its measured error attached, never as a protocol-grade value.",None. No v1.0 edit addresses §3's silence on sub-floor internal triage.,Verified by diff from db78835 to HEAD: §3's cycle-count clause is unchanged.,"All eleven entries collectively produced charter Rev 18's promotion of `[CHARTER-READ]` logging out of smoke addendum §A3 into charter §6, verbatim, reaching both arms.",reps/smoke/collected/CHARTER_READ_HARVEST.md; reps/smoke/collected/s01/LOG.md:193
5,s01,gated,LOG.md:261,Appendix A / G7,"Appendix A / G7: ""the full G6-grade audit"" on every 40th passing structure. Read literally as *Claim-grade cycles*, ~27 audits would cost several hundred CPU-h and be impossible; the charter's own note prices G7 at ""on the order of 1.7% of the compute budget"" (~5.8 CPU-h), which is about one two-pressure screening run per audit -> adopted: a G7 audit reproduces **that structure's own archived screening input in a fresh independent run** (which is exactly what G6 specifies -- ""reproduced from archived inputs in a fresh run"") and re-runs its G3/G4 structural checks. Grade of cycles follows the number being audited, not the Claim.",None. No v1.0 edit addresses the cycle grade of a G7 audit.,Verified by diff from db78835 to HEAD: G7's text is unchanged; Rev 13 reconfirmed k = 40 without touching audit grade.,"All eleven entries collectively produced charter Rev 18's promotion of `[CHARTER-READ]` logging out of smoke addendum §A3 into charter §6, verbatim, reaching both arms.",reps/smoke/collected/CHARTER_READ_HARVEST.md; reps/smoke/collected/s01/LOG.md:261
6,s02,ungated,LOG.md:11,§2,"§2: ""working capacity ... volumetric"" does not say absolute or excess uptake -> adopted **absolute** volumetric loading. Reasons: (a) absolute is the convention in the methane-storage deliverable-capacity literature the 5.8/65 bar pair comes from (ARPA-E MOVE); (b) RASPA's ""excess"" is defined against HeliumVoidFraction, which the protocol does not pin, so excess would not be reproducible from the pinned inputs alone. Every reported number is RASPA ""Average loading absolute","Charter Rev 19 — §2: ""where **N is the absolute adsorbed loading, not the excess**"", with the two protocol reasons given (literature convention for the 65 / 5.8 bar pair, and that RASPA's excess is defined against a helium void fraction §3 does not pin, so it would not be reproducible from the pinned inputs alone).","Revision record: ""adopted from a replicate's filed `[CHARTER-READ]`"". Rev 19: ""the ungated arm logged the ambiguity twice, once at the start and once near filing, and its reasoning is carried into the charter almost verbatim.""","All eleven entries collectively produced charter Rev 18's promotion of `[CHARTER-READ]` logging out of smoke addendum §A3 into charter §6, verbatim, reaching both arms.",reps/smoke/collected/CHARTER_READ_HARVEST.md; reps/smoke/collected/s02/LOG.md:11
7,s02,ungated,LOG.md:19,§3,"§3: ""Energy grids permitted for screening"" -> read as permitting RASPA `UseTabularGrid`; grids are generated with the pinned binary and pinned UFF files, so the potential is the protocol potential, sampled by interpolation. Any grid-based number promoted to the report will be labelled, and the Claim will rest on non-grid runs.","None. No v1.0 edit addresses the energy-grid clause; §3's ""Energy grids permitted for screening; any grid-based number promoted to the final report must state so"" predates the smoke and is unchanged.",Verified by diff from db78835 to HEAD.,"All eleven entries collectively produced charter Rev 18's promotion of `[CHARTER-READ]` logging out of smoke addendum §A3 into charter §6, verbatim, reaching both arms.",reps/smoke/collected/CHARTER_READ_HARVEST.md; reps/smoke/collected/s02/LOG.md:19
8,s02,ungated,LOG.md:269,§4 vs §3,"§4 vs §3: the compute hard stop is already breached, and §3 requires 10,000+50,000 cycles for any number in the Claim, which I cannot now obtain without spending past the stop → I read the §4 hard stop as the stronger constraint, because §5 explicitly blesses ""an honest incomplete report"" while §4 admits no exception. I file with floor-cycle evidence, labelled as not claim-grade, rather than overspend further.","None at v1.0. The §4/§3 conflict was addressed post-seal by charter Rev 24 (2026-08-31, §5 ""Endgame and the spend warning""): budget exhaustion ends a campaign exactly as the deadline does, and the 75% spend warning is the point at which securing a defensible claim outranks further exploration.","Rev 24 is a main-run amendment ruled on REPORT 006 (commit 4d941e6), not attributed in the record to this entry. The harvest notes this entry ""is a conflict, not an ambiguity"" and is the same question s02's unanswered `[ESC: charter / ...]` asked (SI-013).","All eleven entries collectively produced charter Rev 18's promotion of `[CHARTER-READ]` logging out of smoke addendum §A3 into charter §6, verbatim, reaching both arms.",reps/smoke/collected/CHARTER_READ_HARVEST.md; reps/smoke/collected/s02/LOG.md:269
9,s02,ungated,LOG.md:276,"§2 ""volumetric (cm³ STP/cm³)""","§2 ""volumetric (cm³ STP/cm³)"": absolute or excess adsorption is not stated → adopted **absolute**, which is what RASPA's loading is and what the ""working capacity"" convention in this literature means. Excess would subtract a bulk term and lower every number; the choice is applied uniformly so the ranking and the ceiling argument are unaffected.","Charter Rev 19 — §2, as above. This is the second filing of the same ambiguity, and the harvest names it the reason §2 was the strongest v1.0 candidate.","Harvest: ""A reading logged once at the start and re-logged near filing is a sign the text never resolved it... **§2 is the strongest v1.0 candidate in this harvest.**""","All eleven entries collectively produced charter Rev 18's promotion of `[CHARTER-READ]` logging out of smoke addendum §A3 into charter §6, verbatim, reaching both arms.",reps/smoke/collected/CHARTER_READ_HARVEST.md; reps/smoke/collected/s02/LOG.md:276
10,s02,ungated,LOG.md:282,"§1 ""1,731-structure database""","§1 ""1,731-structure database"": 501 of the files are geometric duplicates under the chargeless protocol → I read the mandate as being over distinct *geometries* (1,230), simulating each once. Duplicates are identical inputs and would return identical physics; simulating them again would spend budget to reproduce a number, not to learn one.",None. No v1.0 edit addresses duplicate geometries in the database size stated by §1.,Verified by diff from db78835 to HEAD: §1's mandate sentence changed only by the phase-span population of N (Rev 19).,"All eleven entries collectively produced charter Rev 18's promotion of `[CHARTER-READ]` logging out of smoke addendum §A3 into charter §6, verbatim, reaching both arms.",reps/smoke/collected/CHARTER_READ_HARVEST.md; reps/smoke/collected/s02/LOG.md:282
